COLLEGE,BRANCH,CATEGORIES,Cutoff_2019,Cutoff_2020,Cutoff_2021,Cutoff_2022,Cutoff_2023,Cutoff_2024
K.L.S. Gogte Institute of Technology,CS Computers,STG,8958,0,0,0,2280,2048
K.L.S. Gogte Institute of Technology,EC Electronics,2AG,963,1123,920,967,589,1839
K.L.S. Gogte Institute of Technology,EC Electronics,GM,272,221,660,570,1015,1092
K.L.S. Gogte Institute of Technology,EC Electronics,SCG,1583,4355,2972,1436,896,6319
K.L.S. Gogte Institute of Technology,EC Electronics,GMR,766,482,1448,635,399,1303
K.L.S. Gogte Institute of Technology,EC Electronics,SCR,0,0,0,0,6964,0
K.L.S. Gogte Institute of Technology,EC Electronics,STG,0,0,0,0,4561,5426
K.L.S. Gogte Institute of Technology,EE Electrical,2AG,1301,3172,1107,636,2183,1340
K.L.S. Gogte Institute of Technology,EE Electrical,GM,1131,916,805,422,324,1206
K.L.S. Gogte Institute of Technology,EE Electrical,SCG,0,0,0,0,2003,0
K.L.S. Gogte Institute of Technology,EE Electrical,GMR,0,0,0,0,0,0
K.L.S. Gogte Institute of Technology,EE Electrical,SCR,0,0,0,0,0,0
K.L.S. Gogte Institute of Technology,EE Electrical,STG,0,0,0,0,0,2771
K.L.S. Gogte Institute of Technology,ME Mechanical,2AG,1003,917,247,1232,2030,0
K.L.S. Gogte Institute of Technology,ME Mechanical,GM,486,402,85,524,1017,1511
